Date,Time,Lat,Lon,Base
7/8/2014,12:26:00,40.8188,-73.866,B02598
7/8/2014,12:40:00,40.8102,-73.9286,B02598
7/8/2014,12:40:00,40.8102,-73.9286,B02598
7/8/2014,12:46:00,40.8602,-73.8828,B02598
7/8/2014,13:03:00,40.8669,-73.7957,B02598
7/8/2014,13:25:00,40.8583,-73.8703,B02598
7/8/2014,13:39:00,40.8076,-73.9297,B02598
7/8/2014,13:56:00,40.8584,-73.8878,B02598
7/8/2014,13:58:00,40.8142,-73.9314,B02598
7/8/2014,14:06:00,40.8429,-73.9,B02598
7/8/2014,14:06:00,40.8429,-73.9,B02598
7/8/2014,14:12:00,40.8324,-73.9013,B02598
7/8/2014,14:34:00,40.8269,-73.9236,B02598
7/8/2014,15:09:00,40.8795,-73.8779,B02598
7/8/2014,15:15:00,40.8441,-73.8774,B02598
7/8/2014,15:15:00,40.8441,-73.8774,B02598
7/8/2014,15:36:00,40.837,-73.8414,B02598
7/8/2014,16:47:00,40.8614,-73.8975,B02598
7/8/2014,16:57:00,40.8544,-73.8888,B02598
7/8/2014,17:33:00,40.8646,-73.8704,B02598
7/8/2014,17:34:00,40.8563,-73.8439,B02598
7/8/2014,17:48:00,40.8945,-73.8611,B02598
7/8/2014,17:57:00,40.8679,-73.8903,B02598
7/8/2014,18:00:00,40.8438,-73.8511,B02598
7/8/2014,18:08:00,40.8914,-73.9041,B02598
7/8/2014,18:09:00,40.8285,-73.8952,B02598
7/8/2014,18:59:00,40.808,-73.9294,B02598
7/8/2014,19:56:00,40.8233,-73.931,B02598
7/8/2014,19:56:00,40.8233,-73.931,B02598
7/8/2014,21:02:00,40.8906,-73.9112,B02598
7/8/2014,22:01:00,40.898,-73.8633,B02598
7/8/2014,23:24:00,40.8838,-73.8555,B02598
7/9/2014,2:52:00,40.8329,-73.8764,B02598
7/9/2014,3:29:00,40.8574,-73.8461,B02598
7/9/2014,5:53:00,40.8247,-73.8221,B02598
7/9/2014,6:15:00,40.8854,-73.9135,B02598
7/9/2014,7:01:00,40.828,-73.9219,B02598
7/9/2014,7:01:00,40.828,-73.9219,B02598
7/9/2014,7:12:00,40.8861,-73.9072,B02598
7/9/2014,7:34:00,40.8847,-73.9155,B02598
7/9/2014,8:06:00,40.8977,-73.9045,B02598
7/9/2014,8:07:00,40.878,-73.9171,B02598
7/9/2014,9:46:00,40.8779,-73.9074,B02598
