Base Number,Base Name,Pick Up Date,Number of Trips,Number of Vehicles
B01849,JOE PAL LIMOUSINE LTD,06/26/2015,6,4
B01912,"CAR 24 TRANSPORTATION, INC",06/26/2015,6, -   
B01957,"ANIMO, INC",06/26/2015,6,3
B00236,LAST RADIO GROUP CORP.,06/27/2015,6,3
B02182,"FINEST CAR SERVICE, LLC",06/27/2015,6,1
B02252,ASIANA LIMOUSINE INC.,06/27/2015,6,2
B02711,204 CAR & LIMO INC,06/27/2015,6,3
B02073,"STARGATE LIMOUSINE, INC.",06/28/2015,6,5
B02133,"TWR CAR & LIMO, INC.",06/28/2015,6,5
B02240,NEW APPLE TRANS. INC.,06/28/2015,6,6
B02248,HYBRID LIMO EXPRESS INC.,06/28/2015,6,1
B02711,204 CAR & LIMO INC,06/28/2015,6,2
B02631,"CONFIDENTIAL HOLDINGS, LLC",06/29/2015,6,3
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",06/29/2015,6,4
b02754,TIGER CAR SERVICE INC.,06/29/2015,6,1
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,06/30/2015,6,2
B02073,"STARGATE LIMOUSINE, INC.",06/30/2015,6,4
B02252,ASIANA LIMOUSINE INC.,06/30/2015,6,2
B02637,ROOSEVELT CAR & LIMO INC.,06/30/2015,6,6
B02694,CITY LIMOUSINE TRANSPORTATION INC.,06/30/2015,6,6
B00623,MANHATTAN INT'L LIMO NETWORK LLC,07/01/2015,6,4
B02610,WC TRANSPORTATION SERVICE GROUP INC.,07/01/2015,6,5
B02633,USHLS CORP,07/01/2015,6,4
B02681,DIRECT CAR & LIMO SERVICE INC.,07/01/2015,6,2
B02287,"ROAD NEW YORK ENTERPRISES, INC.",07/02/2015,6,3
B02611,SS LIMOUSINE SERVICE INC,07/02/2015,6,2
B02631,"CONFIDENTIAL HOLDINGS, LLC",07/02/2015,6,4
B02694,CITY LIMOUSINE TRANSPORTATION INC.,07/02/2015,6,6
B01846,ROMANTIQUE LIMOUSINE INC.,07/03/2015,6,6
B02217,PCS LIMOUSINE INC.,07/03/2015,6,5
B02248,HYBRID LIMO EXPRESS INC.,07/03/2015,6,1
B02287,"ROAD NEW YORK ENTERPRISES, INC.",07/03/2015,6,5
B00202,"EXCELSIOR CAR & LIMO, INC.",07/04/2015,6,3
B00277,ALL CITY CORP TRANS INC,07/04/2015,6,5
B01779,APEX CAR & LIMO SVCE INC,07/04/2015,6,3
B01957,"ANIMO, INC",07/04/2015,6,3
B02191,US LIMO SYSTEM INC,07/04/2015,6,4
B02287,"ROAD NEW YORK ENTERPRISES, INC.",07/04/2015,6,3
B02470,CRI LIMO INC.,07/05/2015,6,3
B02610,WC TRANSPORTATION SERVICE GROUP INC.,07/05/2015,6,4
B02808,INVASORA EXPRESS CAR SERVICE CORP.,07/05/2015,6,1
B00485,EARLY BIRD CAR SERVICE INC,07/06/2015,6,5
B01970,GRAFE STREET SERVICE CORP.,07/06/2015,6,4
B02610,WC TRANSPORTATION SERVICE GROUP INC.,07/06/2015,6,3
B02127,"CONTINENTAL RIDE, INC.",07/07/2015,6,6
B02287,"ROAD NEW YORK ENTERPRISES, INC.",07/07/2015,6,4
B02611,SS LIMOUSINE SERVICE INC,07/07/2015,6,3
B02808,INVASORA EXPRESS CAR SERVICE CORP.,07/07/2015,6,1
B02631,"CONFIDENTIAL HOLDINGS, LLC",07/08/2015,6,3
B00485,EARLY BIRD CAR SERVICE INC,07/09/2015,6,5
B01928,DISCOVER LIMO INC,07/09/2015,6,4
B02127,"CONTINENTAL RIDE, INC.",07/09/2015,6,4
B02631,"CONFIDENTIAL HOLDINGS, LLC",07/09/2015,6,3
B02694,CITY LIMOUSINE TRANSPORTATION INC.,07/09/2015,6,5
B02711,204 CAR & LIMO INC,07/09/2015,6,2
B00083,PAGE-A-RIDE INC,07/10/2015,6,4
B00623,MANHATTAN INT'L LIMO NETWORK LLC,07/10/2015,6,4
B01957,"ANIMO, INC",07/10/2015,6,2
B00623,MANHATTAN INT'L LIMO NETWORK LLC,07/11/2015,6,3
B01846,ROMANTIQUE LIMOUSINE INC.,07/11/2015,6,6
B01970,GRAFE STREET SERVICE CORP.,07/11/2015,6,3
B02217,PCS LIMOUSINE INC.,07/11/2015,6,3
B02252,ASIANA LIMOUSINE INC.,07/11/2015,6,3
B02287,"ROAD NEW YORK ENTERPRISES, INC.",07/11/2015,6,3
B02252,ASIANA LIMOUSINE INC.,07/12/2015,6,3
B02631,"CONFIDENTIAL HOLDINGS, LLC",07/12/2015,6,4
B02681,DIRECT CAR & LIMO SERVICE INC.,07/12/2015,6,4
